translation_x	translation_y	translation_z	rotMatrix_11	rotMatrix_21	rotMatrix_31	rotMatrix_12	rotMatrix_22	rotMatrix_32	rotMatrix_13	rotMatrix_23	rotMatrix_33
16.4807157536	-89.4528847835	619.8411546323	0.9682621933	-0.1049710702	-0.2268165753	-0.0326741318	0.8465686875	-0.5312754822	0.2477843535	0.521825709	0.8162704049
17.1217887927	-89.3972920526	619.9061322496	0.9708088367	-0.1006322403	-0.2177120798	-0.0308281610	0.8478375012	-0.5293588431	0.2378550426	0.5206191629	0.8199855116
18.0428508773	-89.2050295175	619.900255212	0.9731133213	-0.0972769609	-0.2087807291	-0.0280735090	0.8495896907	-0.5266968106	0.2286133837	0.518396046	0.8240163079
18.874936754	-88.9042109989	619.8772261956	0.9749429233	-0.0944234229	-0.2014302332	-0.0257893934	0.8513775487	-0.5239194493	0.2209634128	0.515985086	0.8276096715
19.1667666783	-88.6344871069	619.9994876328	0.975955228	-0.0953588681	-0.1960030031	-0.0213253091	0.8531372088	-0.5212505155	0.2169233082	0.5128971141	0.8305901185
19.3507291822	-88.6991579091	619.9908825605	0.976813810	-0.0968835832	-0.1909132101	-0.0169405803	0.8539706392	-0.5200452974	0.2134181319	0.5112217701	0.8325290128
19.5511167621	-88.3495790676	619.9704147286	0.9772912771	-0.0987026180	-0.1875049821	-0.0132003573	0.8548100354	-0.5187730031	0.2114854002	0.5094678556	0.8340953860
19.8905800233	-88.3600873205	619.8045305391	0.9781728848	-0.0993729924	-0.1824888542	-0.00998702230	0.8547334675	-0.5189710091	0.2075510351	0.5094660492	0.8350846211
20.1042555008	-88.6513685144	620.1266937303	0.9784925237	-0.1012802806	-0.1797035854	-0.00706863780	0.8541928831	-0.519908186	0.2061579599	0.5099966543	0.8351053835
20.3468960044	-88.7045049113	620.0639091581	0.9791879467	-0.101505698	-0.1757543856	-0.00469736290	0.8543863717	-0.5196170163	0.2029062695	0.5096283037	0.8361280820
21.0521107163	-88.6312551775	620.0879191025	0.980273487	-0.1006993086	-0.170073037	-0.00218682340	0.8549010869	-0.5187866092	0.197637055	0.5089240865	0.8378167785
21.9669647568	-88.4996297589	619.9711252274	0.9821027267	-0.0967861201	-0.1615900127	-0.0006369557	0.8561735632	-0.5166881627	0.188357351	0.5075429972	0.8407889779
22.8769148252	-88.7268621887	619.8166964853	0.9843240154	-0.0928744629	-0.1499465498	0.00195510420	0.8558295907	-0.5172543709	0.176368420	0.5088520987	0.8425953809
23.9616931746	-88.1011495442	619.0911844397	0.9864519494	-0.0895058263	-0.1374924783	0.00596544830	0.8570793661	-0.5151499602	0.163950903	0.5073501021	0.8460016840
25.5323104355	-88.1141253283	618.868880082	0.9891151454	-0.0831817031	-0.121393845	0.00896908210	0.8574604075	-0.5144721338	0.1468850646	0.5077822054	0.8488734267
27.0218975886	-88.5326007792	618.8088450101	0.9917552028	-0.0778363656	-0.1017985237	0.0143459268	0.8568382568	-0.5153856787	0.1273406152	0.5096760321	0.8508904296
28.1617315729	-88.4818704384	618.5508868153	0.9937506103	-0.0720331653	-0.0852588975	0.0179255122	0.8569517103	-0.5150846042	0.1101659674	0.5103382369	0.8528873354
29.8974382466	-88.7755744042	618.4884194425	0.9957480538	-0.0646170096	-0.0656474556	0.0214460069	0.8557198904	-0.5169945208	0.0895825030	0.5133890348	0.8534670792
31.0647181706	-88.7648124821	618.4349823382	0.9970791382	-0.0589117348	-0.0485732843	0.0254012652	0.8558534646	-0.5165939531	0.0720050808	0.5138522067	0.8548498402
32.5721062831	-88.8565665826	618.2985762263	0.9981934829	-0.0525460701	-0.0291614907	0.0298879134	0.8550596181	-0.5176678936	0.0521361909	0.515860256	0.8550856038
33.9965858102	-89.0514196684	618.4104265552	0.9988684328	-0.0462626353	-0.0111380868	0.0337854358	0.8543314439	-0.5186294596	0.0335087773	0.5176657008	0.8549278648
35.2979500823	-89.0156646814	618.2915106734	0.9991699889	-0.0403239674	0.00537171190	0.0372806148	0.8548120808	-0.5175964242	0.0162797609	0.517368340	0.8556055770
36.6946659743	-88.7567267968	618.1089960171	0.9991865131	-0.0346436640	0.0206611103	0.0403365339	0.8563363711	-0.5148408682	0.0001430956	0.5152550205	0.8570372394
38.10610264	-88.4882986953	618.0272999211	0.9990246906	-0.0283805872	0.0338103572	0.0417037206	0.8578897153	-0.5121385569	-0.0144707506	0.5130495106	0.8582364935
37.9951692947	-88.1707998066	617.9591509471	0.9988185525	-0.0222641356	0.0431474997	0.0411379204	0.8600811112	-0.5084955609	-0.0257890994	0.5096711521	0.8599805690
38.7787369159	-87.9426854498	617.7470969356	0.9983487192	-0.0174348593	0.0547460126	0.0427580780	0.8619172111	-0.5052430826	-0.0383776949	0.5067492757	0.8612395070
39.6561908104	-87.9636402877	617.5791307399	0.9977382648	-0.0142455095	0.0656719388	0.0453961570	0.8634452631	-0.5023955027	-0.0495472286	0.5042412168	0.8621388955
41.7842533609	-87.9329489514	617.786077976	0.9963235383	-0.0105890761	0.0850333841	0.0518085244	0.8648621564	-0.4993290134	-0.0682547123	0.5018982599	0.8622312769
41.5757306507	-87.0336067142	617.732959113	0.995619874	-0.005008548	0.0933719020	0.0506972562	0.8679699054	-0.4940224408	-0.0785696696	0.4965917838	0.8644221332
43.8359417457	-87.6663613907	617.7872711519	0.9938662334	-0.00636442150	0.1104022338	0.0604153841	0.8674358317	-0.4938673742	-0.0926236660	0.4975083606	0.8624996352
43.5894271731	-87.6973463119	617.7531533318	0.9928515794	-0.00426492320	0.1192714129	0.0628350526	0.8683184436	-0.4920109816	-0.1014671917	0.4959883853	0.8623792703
45.0287585036	-87.6204405934	617.9905423629	0.9908620066	-0.00192383470	0.1348524764	0.0685246144	0.868396143	-0.4911132553	-0.1161605293	0.4958671558	0.8605923454
45.1863195529	-87.5550454368	618.2388504735	0.989039270	-0.0004174085	0.1476442375	0.0736424458	0.8681196545	-0.4908613063	-0.1279679523	0.4963548013	0.8586349920
46.8981854471	-87.4124781969	618.5566641911	0.9859802376	0.00324847870	0.166837224	0.0802117493	0.8674999294	-0.4909277382	-0.1463260446	0.4974270653	0.8550773141
47.6962824847	-87.6809552188	618.862331687	0.9831554934	0.00974696020	0.1825170675	0.0829982564	0.8658777981	-0.4933224968	-0.162845879	0.5001608064	0.8504836622
48.6213555116	-87.6307157323	619.2737907875	0.9794850108	0.0180378122	0.2007023006	0.0854646175	0.8647864045	-0.4948131522	-0.1824899495	0.5018157455	0.8455035604
50.3968685583	-88.2038983143	619.751649485	0.9747414447	0.0252932761	0.2219030891	0.0910175122	0.8623306764	-0.4980980675	-0.2039523667	0.5057137192	0.8382473857
51.7034777006	-88.355769138	620.3210936557	0.9694825959	0.0362709522	0.2424635401	0.0929224550	0.8608375641	-0.5003241521	-0.2268689817	0.5075853166	0.8311967444
53.0358015006	-88.3833541472	620.7767828132	0.9635053848	0.0471792478	0.2634982546	0.0950740842	0.8598574076	-0.5016035167	-0.2502361886	0.5083498036	0.8239916796
54.2325998845	-87.8198089269	621.2081967937	0.957499483	0.0585007470	0.2824445984	0.0950137047	0.8605943956	-0.5003498167	-0.272341099	0.5059199507	0.8184605034
56.1919619129	-87.5301212715	621.2937225934	0.949910190	0.0674513409	0.3051530061	0.0988312921	0.8614830945	-0.4980753723	-0.2964800062	0.5032860664	0.8116651190
57.0553002443	-87.1811790038	621.4648427351	0.9426606898	0.0761429871	0.3249489024	0.1005013679	0.8636748317	-0.4939282844	-0.3182593562	0.4982649456	0.8064997535
58.4378772141	-86.478626244	621.407510727	0.9356175368	0.0800198446	0.3438232555	0.1046009403	0.8673884717	-0.4865138316	-0.3371590789	0.4911556812	0.8031735754
59.5243950181	-86.3146286282	621.3601611417	0.9285263401	0.0847520738	0.361465110	0.1076610734	0.8702975707	-0.4806155836	-0.3553153859	0.4851795612	0.7989698014
60.1812323468	-85.8118185548	621.2709271307	0.9223930357	0.0875187978	0.3762016032	0.1103636169	0.8736656394	-0.4738437889	-0.3701446341	0.4785901612	0.7962039744
61.1908574339	-85.6905937176	621.2049466289	0.916828873	0.0911474913	0.388732991	0.1122847763	0.8754455623	-0.4700924442	-0.3831622936	0.4746441751	0.7923990550
61.4932977732	-85.4527282898	621.122434646	0.9120634039	0.0932972185	0.3992915524	0.1144692855	0.8771266788	-0.4664176162	-0.393744723	0.4711097216	0.7893153300
61.8866430821	-85.5112421139	621.0687502833	0.9078849388	0.0950206308	0.4083075416	0.1170096824	0.8778291101	-0.4644617607	-0.4025576927	0.4694539715	0.7858494428
62.3976266232	-85.6267891162	621.0811782313	0.9032678268	0.0964820370	0.4180883386	0.1209227755	0.8776561544	-0.4637857946	-0.4116847848	0.4694796228	0.7810916144
